id,product_series,product_name,manufacturer,product_type,supported_protocols
1168,Shark,200S,Electro Industries,Power Meters,modbus
1169,Countis,E24,Socomec,Power Meters,modbus
1170,Tmax XT7 M,Tmax XT7 M & Ekip Touch Measuring & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1171,SXB,SXB36,Honeywell,Power Meters,modbus
1172,ComPact NSX,Micrologic type A,Schneider Electric,Circuit Breakers,modbus
1173,DELPHYS,Green Power 2.0 (ADC+SL),Socomec,Uninterruptible Power Supplies,modbus
1174,3Play,3Play 100TL,Ingeteam,Solar Inverters,modbus
1175,Sepam,Series 20,Schneider Electric,Protection Relays,modbus
1176,Tmax XT2,Tmax XT2 & Ekip M Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1177,PV Inverter,Three Phase Inverter,Solar Edge,Solar Inverters,modbus
1178,Conext,CL 25,Schneider Electric,Solar Inverters,modbus
1179,CENTRAX,CU3000,Camille Bauer,Power Meters,modbus
1180,Magnum SB,Magnum SB & Digitrip RMS 1150 & mMint,Eaton,Circuit Breakers,modbus
1181,Emax,Emax w. PR332/P-LSI,ABB,Circuit Breakers,modbus
1182,Sinamics,V20,Siemens,Variable Frequency Drives,modbus
1183,TRIO,TRIO-50.0/60.0 + VSN700,ABB,Solar Inverters,modbus
1184,Tmax XT5,Tmax XT5 & Ekip M Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1185,Tmax XT7 M,Tmax XT7 M & Ekip M Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1186,Series G,Series G & Digitrip RMS 910 & mMint,Eaton,Circuit Breakers,modbus
1187,PowerMonitor,1000-EM3,Rockwell Automation,Power Meters,modbus
1188,DPM,C530A,Delta Electronics,Power Meters,modbus
1189,Liebert,Npower,Vertiv Group Corp,Uninterruptible Power Supplies,modbus
1190,Tmax T4,Tmax T4 & Ekip Signaling Modbus TCP,ABB,Circuit Breakers,modbus
1191,Tmax XT5,Tmax XT5 & Ekip G Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1192,Sinamics,G120D,Siemens,Variable Frequency Drives,modbus | ethernet-ip
1193,Tmax XT7,Tmax XT7 & Ekip Touch Measuring & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1194,Q,Brick 1,Quadlogic Controls Corp,Power Meters,modbus
1195,Temperature Collector,Four-channel power system temperature collector,Johar,Temperature & Humidity Sensors,modbus
1196,Tmax XT2,Tmax XT2 & Ekip Hi-Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1197,Isomax S5,Isomax S5 & SD030DX,ABB,Circuit Breakers,modbus
1199,Liebert,NXC,Vertiv Group Corp,Uninterruptible Power Supplies,modbus
1200,A,A1000,Yaskawa,Variable Frequency Drives,modbus | ethernet-ip
1201,EEM230-D,EEM230-D,Saia Burgess,Power Meters,modbus
1202,PowerFlex,525 (SingleDrive),Rockwell Automation,Variable Frequency Drives,modbus | ethernet-ip
1203,DSL,DSL & Digitrip RMS 910 & PXG,Eaton,Circuit Breakers,modbus
1204,ME96,SSRA,Mitsubishi,Power Meters,modbus
1205,PowerFlex,400 (MultiDrive),Rockwell Automation,Variable Frequency Drives,ethernet-ip
1206,EntelliGuard,WavePro,ABB,Circuit Breakers,modbus
1207,P,P1000,Yaskawa,Variable Frequency Drives,modbus | ethernet-ip
1208,Power Xpert Meter,PXM4000,Eaton,Power Meters,modbus
1209,Unidrive,M400 (Standard Addressing),Control Techniques,Variable Frequency Drives,modbus
1210,E-Pumps,0.25-7.5 kW H models w. Sensor,Grundfos,Motors & Pumps,modbus
1211,Tmax XT7,Tmax XT7 & Ekip M Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1212,Tmax XT4,Tmax XT4 & Ekip G-LS/I & Ekip Com STA Modbus TCP,ABB,Circuit Breakers,modbus
1213,Tmax T4,Tmax T4 & SD030DX,ABB,Circuit Breakers,modbus
1214,Magnum IEC,Magnum IEC & Digitrip RMS 520MC & PXG,Eaton,Circuit Breakers,modbus
1215,Tmax XT2,Tmax XT2 & Ekip Dip & Ekip Com STA Modbus TCP,ABB,Circuit Breakers,modbus
1216,G200,G22S0,Galt Electric,Variable Frequency Drives,modbus
1217,Power Xpert Meter,PXM1200,Eaton,Power Meters,modbus
1218,Sunny Tripower,12000 - 30000TLUS,SMA,Solar Inverters,modbus
1219,DRM,125,TE Connectivity,Power Meters,modbus
1220,TRIO,TRIO-50.0/60.0,ABB,Solar Inverters,modbus
1221,Energy Team,NG,Energy Team,Power Meters,modbus
1222,Acuvim,II Series,Accuenergy,Power Meters,modbus
1223,8_Series,850-P,General Electric,Protection Relays,modbus
1224,UMG,511,Janitza,Power Meters,modbus
1225,PowerFlex,40,Rockwell Automation,Variable Frequency Drives,modbus | ethernet-ip
1226,Tmax XT7,Tmax XT7 & Ekip G Hi-Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1227,Emax 2,Emax 2 & Ekip Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1228,PD,PD & PXR 25MP & CAM + ECAM,Eaton,Circuit Breakers,modbus
1229,Unidrive,M700 (Standard Addressing),Control Techniques,Variable Frequency Drives,modbus
1230,Tmax XT7,Tmax XT7 & Ekip Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1231,Eco-Power Meter,KW2M-A,Panasonic,Power Meters,modbus
1232,PowerFlex,750,Rockwell Automation,Variable Frequency Drives,modbus
1233,DPM,C502,Delta Electronics,Power Meters,modbus
1234,SIRAX,BM1200,Camille Bauer,Power Meters,modbus
1235,Tmax,Tmax T6 & PR223DS,ABB,Circuit Breakers,modbus
1236,PMC,330C,CET,Power Meters,modbus
1237,UMG,512-PRO,Janitza,Power Meters,modbus
1238,Tmax T8,Tmax T8 & PR332/P & PR330/D-M,ABB,Circuit Breakers,modbus
1239,Tmax XT5,Tmax XT5 & Ekip M Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1240,Tmax XT5,Tmax XT5 & Ekip Hi-Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1241,Emax 2,Emax 2 & Ekip Hi-Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1242,Isomax S5,Isomax S5 & Ekip Signaling Modbus TCP,ABB,Circuit Breakers,modbus
1243,Variable speed drives,SpeedStar,Schlumberger,Variable Frequency Drives,modbus
1244,Emax DC,Emax DC & PR122/DC & PR120/D-M,ABB,Circuit Breakers,modbus
1245,Tmax XT4,Tmax XT4 & Ekip Hi-Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1246,PowerLogic,ION7300-temp,Schneider Electric,Power Meters,modbus
1247,Relion 620 series,RET 620 ANSI,ABB,Protection Relays,modbus
1248,"TP,TPE",TPED w. Sensor,Grundfos,Motors & Pumps,modbus
1249,Sunny Highpower,Peak1,SMA,Solar Inverters,modbus
1250,Tmax XT4,Tmax XT4 & Ekip M Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1251,Sinamics,S150,Siemens,Variable Frequency Drives,modbus | ethernet-ip
1252,Optidrive,ECO,Invertek,Variable Frequency Drives,modbus
1253,Tmax XT2,Tmax XT2 & Ekip M-I & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
1254,Eco-Power Meter,KW2M-X,Panasonic,Power Meters,modbus
1255,EasyLogic,PM2125_2225,Schneider Electric,Power Meters,modbus
1256,Access,9410,Siemens,Power Meters,modbus
1257,PD,PD (ICCB) & PXR 25,Eaton,Circuit Breakers,modbus
1258,Sunny Tripower,10000 - 20000TLEE-JP,SMA,Solar Inverters,modbus
1259,AcuRev,1310,Accuenergy,Power Meters,modbus
1260,10,CV,Saftronics,General Purpose AC Drives,modbus
1261,Tmax XT7,Tmax XT7 & Ekip G Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1262,Liebert,EXL-S1,Vertiv Group Corp,Uninterruptible Power Supplies,modbus
1263,Isomax S2,Isomax S2 & Ekip Signaling Modbus TCP,ABB,Circuit Breakers,modbus
1264,SDM,630,Eastron,Power Meters,modbus
1265,MX2,3G3MX2,Omron,Variable Frequency Drives,modbus
1266,Easergy-P5,F30,Schneider Electric,Protection Relays,modbus
1267,DSLII,DSLII & Digitrip OPTIM 750 & PXG,Eaton,Circuit Breakers,modbus
1268,PowerLogic,ION8300,Schneider Electric,Power Meters,modbus
1269,Tmax T8,Tmax T8 & PR332/P MM & PR330/D-M,ABB,Circuit Breakers,modbus
1270,Futura,CPU1000,Electro Industries,Power Meters,modbus
1271,Hydro,Multi-E w. Sensor,Grundfos,Motors & Pumps,modbus
1272,SX,F,Omron,Variable Frequency Drives,modbus
1273,Altivar Series,Altivar 600,Schneider Electric,Variable Frequency Drives,modbus
1274,4400,15-100 KVA,Toshiba,Uninterruptible Power Supplies,modbus
1275,Countis,E33,Socomec,Power Meters,modbus
1276,Controls and Monitoring,Control MPC,Grundfos,Motors & Pumps,modbus
1277,i500,i550,Lenze,Variable Frequency Drives,modbus | ethernet-ip
1278,Altivar Series,Altivar 71,Schneider Electric,Variable Frequency Drives,modbus
1279,PowerLogic,EM4800,Schneider Electric,Power Meters,modbus
1280,FR-A Series,FR-A800,Mitsubishi,Variable Frequency Drives,modbus
1281,Tmax T6,Tmax T6 & SD030DX,ABB,Circuit Breakers,modbus
1282,Optidrive,Compact-2,Invertek,Variable Frequency Drives,modbus
1283,NRX,NRX & Digitrip 1150i & mMint,Eaton,Circuit Breakers,modbus
1284,GA,800,Yaskawa,Variable Frequency Drives,modbus
1285,Tmax XT2,Tmax XT2 & Ekip N-LS/I & Ekip Com STA Modbus TCP,ABB,Circuit Breakers,modbus
1286,DELPHYS,BC,Socomec,Uninterruptible Power Supplies,modbus
1287,Emax 2,Emax 2 & Ekip Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1288,Masterpact,NT / NW,Schneider Electric,Circuit Breakers,modbus
1289,DELPHYS,MX,Socomec,Uninterruptible Power Supplies,modbus
1290,Altivar Series,Altivar 1200,Schneider Electric,Variable Frequency Drives,modbus
1291,Emax 2,Emax 2 & Ekip Touch & Ekip Com EtherNet/IP,ABB,Circuit Breakers,ethernet-ip
1292,CENTRAX,CU3000,Camille Bauer,Power Meters,modbus
1293,DSII,DSII & Digitrip OPTIM 750 & mMint,Eaton,Circuit Breakers,modbus
1294,DIRIS,A-60/A-80,Socomec,Power Meters,modbus
1295,Moeller,NZM & PXR 25 & XBSM + ECAM-MTCP,Eaton,Circuit Breakers,modbus
1296,Emax,Emax & Ekip Signaling Modbus TCP,ABB,Circuit Breakers,modbus
1297,Tmax XT5,Tmax XT5 & Ekip G Hi-Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1298,Relion 615 series,REV 615,ABB,Protection Relays,modbus
1299,Series C,Series C & Digitrip  RMS 810 & mMint,Eaton,Circuit Breakers,modbus
1300,Tmax XT7,Tmax XT7 & Ekip G Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1301,UMG,605-US,Janitza,Power Meters,modbus
1302,SIRAX,MM1400,Camille Bauer,Power Meters,modbus
1303,Spectra RMS with microEntelliGuard Trip Units,SG-Frame,General Electric,Circuit Breakers,modbus
1304,IQ,IQ260,Eaton,Power Meters,modbus
1305,SINEAX,DM5000,Camille Bauer,Power Meters,modbus
1306,Sinamics,G110M,Siemens,Variable Frequency Drives,modbus
1307,EC,EC366,Hager,Power Meters,modbus
1308,EPM,6010,General Electric,Power Meters,modbus
1309,Tmax XT5,Tmax XT5 & Ekip M Dip & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
1310,Tmax XT5,Tmax XT5 & Ekip M Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1311,ME96,SSR,Mitsubishi,Power Meters,modbus
1312,ACS,850,ABB,Variable Frequency Drives,modbus | ethernet-ip
1313,Power Circuit Breakers,WL - UL 1066 (ANSI C37),Siemens,Circuit Breakers,modbus
1314,DM,MS 350,Electro Industries,Power Meters,modbus
1315,Tmax T4,Tmax T4 & Ekip M-LRIU,ABB,Circuit Breakers,modbus
1316,ComAp,IGS-NT,Comap Control,Heat Meters,modbus
1317,DSV,15,Emotron,Variable Frequency Drives,modbus
1318,MICOM,P127,Schneider Electric,Protection Relays,modbus
1319,Tmax XT2,Tmax XT2 & Ekip Hi-Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1320,CENTRAX,CU5000,Camille Bauer,Power Meters,modbus
1321,Sunny Boy,3000TL / 3500TL / 4000TL /4500TL / 5400TL,SMA,Solar Inverters,modbus
1322,PowerFlex,4,Rockwell Automation,Variable Frequency Drives,ethernet-ip
1323,ME96,SSE,Mitsubishi,Power Meters,modbus
1324,Vacon,NX,Danfoss,Variable Frequency Drives,modbus
1325,Professional II,3/100,EMU Electronics,Power Meters,modbus
1326,UMG,505,Janitza,Power Meters,modbus
1327,NRX,NRX & Digitrip 1150i & CAM + MCAM,Eaton,Circuit Breakers,modbus
1328,Power Xpert Meter,PXM2270,Eaton,Power Meters,modbus
1329,Magnum IEC,Magnum IEC & Digitrip RMS 1150 & PXG,Eaton,Circuit Breakers,modbus
1330,L-PRO,4000,ERL,Protection Relays,modbus
1331,EC-100 Series,ECA180D,Hager,Power Meters,modbus
1332,CENTRAX,CU3000,Camille Bauer,Power Meters,modbus
1333,PowerFlex,70,Rockwell Automation,Variable Frequency Drives,modbus | ethernet-ip
1334,IQ Pump,Micro AC Drive,Yaskawa,Variable Frequency Drives,modbus
1335,Vacon,NXS,Danfoss,Variable Frequency Drives,ethernet-ip
1336,Isomax S4,Isomax S4 & Ekip Signaling Modbus TCP,ABB,Circuit Breakers,modbus
1337,Easergy-P5,V20,Schneider Electric,Protection Relays,modbus
1338,HVAC Drives,E7,Yaskawa,Variable Frequency Drives,modbus
1339,Altivar Series,Altivar 340,Schneider Electric,Variable Frequency Drives,modbus
1340,Tmax XT5,Tmax XT5 & Ekip G Hi-Touch & Ekip Com EtherNet/IP,ABB,Circuit Breakers,ethernet-ip
1341,DSII,DSII & Digitrip OPTIM 1050 & PXG,Eaton,Circuit Breakers,modbus
1342,PC,7,Saftronics,Variable Frequency Drives,modbus
1343,PAC,3200,Siemens,Power Meters,modbus
1344,PowerLogic,BCPMSC-C,Schneider Electric,Power Meters,modbus
1345,EC,EC367M,Hager,Power Meters,modbus
1346,Series C,Series C & Digitrip RMS 810 & PXG,Eaton,Circuit Breakers,modbus
1347,PMC,53-M,CET,Power Meters,modbus
1348,UR,C70,General Electric,Protection Relays,modbus
1349,Altivar Series,Altivar Lift,Schneider Electric,Variable Frequency Drives,modbus
1350,Low Voltage VFD,iS7,LS Electric,Variable Frequency Drives,ethernet-ip
1351,ACS,M1,ABB,Variable Frequency Drives,modbus | ethernet-ip
1352,Tmax XT7,Tmax XT7 & Ekip Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1353,SINEAX,A230-A230s,Camille Bauer,Power Meters,modbus
1354,GK,800,GTAKE,Variable Frequency Drives,modbus
1355,Tmax XT7 M,Tmax XT7 M & Ekip Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1356,PGR,6200,Littelfuse,Protection Relays,modbus
1357,Eco-Power Meter,KW2M-X,Panasonic,Power Meters,modbus
1358,Easergy-P5,F30,Schneider Electric,Protection Relays,modbus
1359,Liebert,610,Vertiv Group Corp,Uninterruptible Power Supplies,modbus
1360,Series C Molded Case Circuit Breakers,Series C,Eaton,Circuit Breakers,modbus
1361,Affinity,BA,Control Techniques,Variable Frequency Drives,modbus
1362,PowerXL,DC1,Eaton,Variable Frequency Drives,modbus | ethernet-ip
1363,Tmax XT5,Tmax XT5 & TMG & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
1364,VFD,F,Delta Electronics,Variable Frequency Drives,modbus
1365,IQ 100 Series,IQ140,Eaton,Power Meters,modbus
1366,Data Centre and Facility UPS,93PM (PXGMS),Eaton,Uninterruptible Power Supplies,modbus
1367,NRX with PXR NF,NRX,Eaton,Circuit Breakers,modbus
1368,CENTRAX,CU3000,Camille Bauer,Power Meters,modbus
1369,Tmax XT4,Tmax XT4 & MA & Ekip Com STA Modbus TCP,ABB,Circuit Breakers,modbus
1370,PowerMonitor,1000-BC3,Rockwell Automation,Power Meters,modbus
1371,Emax,Emax w. PR332/P-LI,ABB,Circuit Breakers,modbus
1372,E-Pumps,0.25-7.5 kW 3phase,Grundfos,Motors & Pumps,modbus
1373,MICOM,P115,Schneider Electric,Protection Relays,modbus
1374,NRX,IZMX,Eaton,Circuit Breakers,modbus
1375,Integra,1630,TE Connectivity,Power Meters,modbus
1376,IZMX,IZMX 40 & PXR 25 & CAM + ECAM-MTCP,Eaton,Circuit Breakers,modbus
1377,300,EM/ET,Carlo Gavazzi,Power Meters,modbus
1378,PowerFlex,700VC,Rockwell Automation,Variable Frequency Drives,ethernet-ip
1379,TemPower,2 AR,Terasaki,Circuit Breaker,modbus
1380,PowerLogic,PM5000,Schneider Electric,Power Meters,modbus
1381,VF,AS3,Toshiba,Variable Frequency Drives,modbus
1382,Relion 615 series,RED 615 IEC,ABB,Protection Relays,modbus
1383,PAC,3220,Siemens,Power Meters,modbus
1384,Elevator Drive,E300,Control Techniques,Variable Frequency Drives,modbus
1385,Affinity,BAMA,Control Techniques,Variable Frequency Drives,modbus
1386,PowerFlex,4M,Rockwell Automation,Variable Frequency Drives,modbus | ethernet-ip
1387,Series C,Series C K/N/L/R/RG-frame,Eaton,Circuit Breakers,modbus
1388,PowerLogic,PM8000,Schneider Electric,Power Meters,modbus
1389,Vacon,20CP,Danfoss,Variable Frequency Drives,modbus | ethernet-ip
1390,GEH,GEH Concentrator,General Electric,Circuit Breakers,modbus
1391,SJ700,SJ700-3,Hitachi,Variable Frequency Drives,modbus
1392,ME96,SSR,Mitsubishi,Power Meters,modbus
1393,PowerLogic,ION7300,Schneider Electric,Power Meters,modbus
1394,Tmax XT2,Tmax XT2 & Ekip LSIG & Ekip Com Modbus RS-485,ABB,Circuit Breakers,modbus
1395,DS,DS & Digitrip RMS 910 & mMint,Eaton,Circuit Breakers,modbus
1396,Tmax XT7,Tmax XT7 & Ekip Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1397,STATYS,XS/Hot-Swappable/Cabinet/Integrable-Chassis,Socomec,Uninterruptible Power Supplies,modbus
1398,Integra,INT,TE Connectivity,Power Meters,modbus
1399,Tmax T5,Tmax T5 & PR222DS/PD,ABB,Circuit Breakers,modbus
1400,Q2A series,Q2A,Omron,Variable Frequency Drives,modbus
1401,Emax 2,Emax 2 & Ekip Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1402,Diamond Plus,1100A/1100B,Mitsubishi,Uninterruptible Power Supplies,modbus
1403,Sunny Boy,3.0 / 3.6 / 4.0 / 5.0 / 6.0,SMA,Solar Inverters,modbus
1404,Energy management and measurement,EMDX3,Legrand,Power Meters,modbus
1405,Tmax XT2,Tmax XT2 & Ekip M Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1406,Tmax T3,Tmax T3 & SD030DX,ABB,Circuit Breakers,modbus
1407,UR,L60,General Electric,Protection Relays,modbus
1409,SINEAX,A230-A230s,Camille Bauer,Power Meters,modbus
1410,Tmax XT5,Tmax XT5 & Ekip G Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1411,NRX,NRX & Digitrip RMS 1150i & PXG,Eaton,Circuit Breakers,modbus
1412,Tmax XT2,Tmax XT2 & Ekip Touch Measuring & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1413,Commander,C300-Modified,Control Techniques,Variable Frequency Drives,modbus
1414,Tmax XT2,Tmax XT2 & Ekip M Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1415,PowerLogic,E5600,Schneider Electric,Power Meters,modbus
1416,Integra,1530,TE Connectivity,Power Meters,modbus
1417,Tmax XT2,Tmax XT2 & Ekip M Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1418,Gutor,PEW,Schneider Electric,Uninterruptible Power Supplies,modbus
1419,Sepam,Series 80,Schneider Electric,Protection Relays,modbus
1420,ACS,800 Pump,ABB,Variable Frequency Drives,modbus | ethernet-ip
1421,8_Series,845,General Electric,Protection Relays,modbus
1422,PMC,200,CET,Power Meters,modbus
1423,PowerFlex,40P,Rockwell Automation,Variable Frequency Drives,ethernet-ip
1424,IZMX,IZMX 16 & PXR 25 & CAM + MCAM,Eaton,Circuit Breakers,modbus
1425,4300,30-50 KVA,Toshiba,Uninterruptible Power Supplies,modbus
1426,VFD,VL,Delta Electronics,Variable Frequency Drives,modbus
1427,EMR,5000,Eaton,Protection Relays,modbus
1428,Tmax XT7 M,Tmax XT7 M & Ekip Hi-Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1429,UMG,512,Janitza,Power Meters,modbus
1430,Tmax XT7,Tmax XT7 & Ekip Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1431,Unidrive,SPMD,Control Techniques,Variable Frequency Drives,modbus
1432,DRM,80,TE Connectivity,Power Meters,modbus
1433,Acuvim,KL,Accuenergy,Power Meters,modbus
1434,300,EM/ET,Carlo Gavazzi,Power Meters,modbus
1435,G300,340,Galt Electric,Variable Frequency Drives,modbus
1436,PMC,43I,CET,Power Meters,modbus
1437,Emax,Emax & PR122/P & PR120/D-M,ABB,Circuit Breakers,modbus
1438,Power Xpert Meter,PXM8000,Eaton,Power Meters,modbus
1439,Conzerv,EM6459,Schneider Electric,Power Meters,modbus
1440,Access,9360,Siemens,Power Meters,modbus
1441,DPM,DA510,Delta Electronics,Power Meters,modbus
1442,J,J1000,Yaskawa,Variable Frequency Drives,modbus
1443,MiCOM,P211,Schneider Electric,Protection Relays,modbus
1444,Access,9610,Siemens,Power Meters,modbus
1445,Movitrac,LTE-B+,SEW EURODRIVE,Variable Frequency Drives,modbus
1446,EC,366,Hager,Power Meters,modbus
1447,Emax 2,Emax 2 & Ekip Hi-Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1448,Tmax XT4,Tmax XT4 & Ekip LSI & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1449,Galaxy,VX,Schneider Electric,Uninterruptible Power Supplies,modbus
1450,Integra,1580,TE Connectivity,Power Meters,modbus
1451,Integra,CI3,TE Connectivity,Power Meters,modbus
1452,Altivar Series,Altivar 31C,Schneider Electric,Variable Frequency Drives,modbus
1453,Liebert,NX,Vertiv Group Corp,Uninterruptible Power Supplies,modbus
1454,Tmax XT2,Tmax XT2 & TMA & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
1455,PowerLogic,BCPMSC-A,Schneider Electric,Power Meters,modbus
1456,Sunny Tripower,3.0 / 4.0 / 5.0 / 6.0,SMA,Solar Inverters,modbus
1457,CFW,11,WEG,Variable Frequency Drives,modbus | ethernet-ip
1458,ComPact NSX,Micrologic type E,Schneider Electric,Circuit Breakers,modbus
1459,SIL,G,Fanox,Protection Relays,modbus
1460,GEH,GEH Concentrator,General Electric,Circuit Breakers,modbus
1461,ME96,SSH,Mitsubishi,Power Meters,modbus
1462,Altivar Series,Altivar 58,Schneider Electric,Variable Frequency Drives,modbus
1463,Series C,Series C & Digitrip OPTIM 1050 & mMint,Eaton,Circuit Breakers,modbus
1464,Data Centre and Facility UPS,BladeUPS,Eaton,Uninterruptible Power Supplies,modbus
1465,F550 Series,F550,Rayleigh Instruments,Power Meters,modbus
1466,CFW,501,WEG,Variable Frequency Drives,modbus
1467,DRS,45-1P,TE Connectivity,Power Meters,modbus
1468,Tmax XT7 M,Tmax XT7 M & Ekip Hi-Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1469,Series C,Series C & Digitrip OPTIM 550 & PXG,Eaton,Circuit Breakers,modbus
1470,SINAMICS,S120,Siemens,Variable Frequency Drives,ethernet-ip
1471,Ultraflo,U1000MKII-FM,Micronics,Gas Flow Meters,modbus
1472,Professional II,3/5,EMU Electronics,Power Meters,modbus
1473,Power Xpert Meter,PXM2260,Eaton,Power Meters,modbus
1474,Unidrive,M702-Modified,Control Techniques,Variable Frequency Drives,modbus
1475,PMC,43M,CET,Power Meters,modbus
1476,VLT HVAC Drive,FC 101,Danfoss,Variable Frequency Drives,modbus
1477,Integra,1560,TE Connectivity,Power Meters,modbus
1478,EC,367,Hager,Power Meters,modbus
1479,Conto,D4,IME,Power Meters,modbus
1480,Tmax XT2,Tmax XT2 & Ekip G-LS/I & Ekip Com STA Modbus TCP,ABB,Circuit Breakers,modbus
1481,Moeller,NZM & PXR 25MP & XBSM + RCAM MRTU,Eaton,Circuit Breakers,modbus
1482,Tmax XT7 M,Tmax XT7 M & Ekip Hi-Touch & Ekip Com EtherNet/IP,ABB,Circuit Breakers,ethernet-ip
1483,S7,S7-400,Siemens,Programmable Logic Controllers,S7 PLC
1484,G300,320,Galt Electric,Variable Frequency Drives,modbus
1485,Conzerv,EM6436,Schneider Electric,Power Meters,modbus
1486,Sinamics,G120,Siemens,Variable Frequency Drives,modbus | ethernet-ip
1487,SJ,P1,Hitachi,Variable Frequency Drives,modbus
1488,VLT AutomationDrive,FC 302,Danfoss,Variable Frequency Drives,modbus | ethernet-ip
1489,Vamp Protection,50 Series,Schneider Electric,Protection Relays,modbus
1490,Tmax XT2,Tmax XT2 & Ekip M Dip & Ekip Com STA Modbus TCP,ABB,Circuit Breakers,modbus
1491,TemPower,2 AR,Terasaki,Circuit Breaker,modbus
1492,Tmax XT7,Tmax XT7 & Ekip Touch Measuring & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1493,SDM,230,Eastron,Power Meters,modbus
1494,S7,S7-1200,Siemens,Programmable Logic Controllers,S7 PLC
1495,9SX,9SX-Singlephase,Eaton,Uninterruptible Power Supplies,modbus
1496,Sinamics,G120C,Siemens,Variable Frequency Drives,modbus | ethernet-ip
1497,Powerlogic,PM5340,Schneider Electric,Power Meters,modbus
1498,FSDrive,MV1000,Yaskawa,Variable Frequency Drives,modbus
1499,Integra,1580,TE Connectivity,Power Meters,modbus
1500,GEH,GEH Concentrator,General Electric,Circuit Breakers,modbus
1501,Tmax T6,Tmax T6 & Ekip Signaling Modbus TCP,ABB,Circuit Breakers,modbus
1502,DIRIS Digiware,I-31,Socomec,Power Meters,modbus
1503,EC-300 Series,ECR381D,Hager,Power Meters,modbus
1504,DIRIS,B-30,Socomec,Power Meters,modbus
1505,Altivar Series,Altivar 12,Schneider Electric,Variable Frequency Drives,modbus
1506,Tmax XT2,Tmax XT2 & Ekip Dip & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
1507,ComAp,IGS-NT,Comap Control,Heat Meters,modbus
1508,Hydro,Multi-E,Grundfos,Motors & Pumps,modbus
1509,MVW,1,WEG,Variable Frequency Drives,modbus
1510,DIRIS Digiware,U-30,Socomec,Power Meters,modbus
1511,E-Mon,Class 3400,Honeywell,Power Meters,modbus
1512,Tmax XT7,Tmax XT7 & Ekip Touch & Ekip Com EtherNet/IP,ABB,Circuit Breakers,ethernet-ip
1513,Countis,E50,Socomec,Power Meters,modbus
1514,VFD,M,Delta Electronics,Variable Frequency Drives,modbus
1515,Magnum Circuit Breakers,Magnum,Eaton,Circuit Breakers,modbus
1516,PV Inverter,Three Phase Inverter,Solar Edge,Solar Inverters,modbus
1517,Power Tag,Acti 9 Smartlink SI-D,Schneider Electric,Power Meters,modbus
1518,Easergy-P5,M30,Schneider Electric,Protection Relays,modbus
1519,Tmax XT7 M,Tmax XT7 M & Ekip Touch Measuring & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
