id,product_series,product_name,manufacturer,product_type,supported_protocols
898,PD,PD (ICCB) & PXR 20,Eaton,Circuit Breakers,modbus
899,MELPRO-S Series,CBV2-A02S1,Mitsubishi,Protection Relays,modbus
900,PMC,630E,CET,Power Meters,modbus
901,A,PLUS,Camille Bauer,Power Meters,modbus
902,DIRIS Digiware,I-61,Socomec,Power Meters,modbus
903,Quantum/Mentor,QuantumMP/MentorMP,Control Techniques,Variable Frequency Drives,modbus
904,DRB,80-3P,TE Connectivity,Power Meters,modbus
905,Tmax T6,Tmax T6 & Ekip M-LRIU,ABB,Circuit Breakers,modbus
906,UMG,604,Janitza,Power Meters,modbus
907,SIL,B,Fanox,Protection Relays,modbus
908,Tmax XT5,Tmax XT5 & Ekip Dip & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
909,Sepam,Series 20,Schneider Electric,Protection Relays,modbus
910,EPM,2200,General Electric,Power Meters,modbus
911,IQ 100 Series,IQ130,Eaton,Power Meters,modbus
912,PD,PD & PXR 25 & CAM + ECAM,Eaton,Circuit Breakers,modbus
913,Tmax XT4,Tmax XT4 & Ekip M Dip & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
914,SINEAX,DM5000,Camille Bauer,Power Meters,modbus
915,SIL,D,Fanox,Protection Relays,modbus
916,PowerFlex,755T,Rockwell Automation,Variable Frequency Drives,ethernet-ip
917,MS,300,Delta Electronics,Variable Frequency Drives,modbus
918,Conext,SmartGen NA/ SmartGen IEC,Schneider Electric,Solar Inverters,modbus
919,PMC,630-C,CET,Power Meters,modbus
920,Nexus,1450,Electro Industries,Power Meters,modbus
921,Moeller,PKE 32 & PKE-XTU(W)ACP & COM-RTU,Eaton,Circuit Breakers,modbus
922,PowerLogic,PM700,Schneider Electric,Power Meters,modbus
923,TCF,TF200,AC Tech,Variable Frequency Drives,modbus
924,Altivar Series,Altivar 320,Schneider Electric,Variable Frequency Drives,ethernet-ip
925,10,GP,Saftronics,General Purpose AC Drives,modbus
926,SDM,630,Eastron,Power Meters,modbus
927,Data Centre and Facility UPS,9E,Eaton,Uninterruptible Power Supplies,modbus
928,EC-300 Series,ECA310D,Hager,Power Meters,modbus
929,Liebert,GXT2,Vertiv Group Corp,Uninterruptible Power Supplies,modbus
930,EPM,9900,General Electric,Power Meters,modbus
931,A,2000,Gossen Metrawatt,Power Meters,modbus
932,Tmax XT7 M,Tmax XT7 M & Ekip G Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
933,PowerLogic,PM750,Schneider Electric,Power Meters,modbus
