id,product_series,product_name,manufacturer,product_type,supported_protocols
d136b951-c852-4c44-8c0d-89e23693b9fd,PMC,53A-E,CET,Power Meters,modbus
c4316f3b-23b2-4d2f-a83d-f3ceaafd55a7,Tmax XT2,Tmax XT2 & Ekip M Dip & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
d8d975c7-5f81-47e5-9f23-e21163ec690d,Tmax XT5,Tmax XT5 & Ekip Touch Measuring & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
489a886b-3c0c-49a8-9d92-6159a041a0c9,AWD3,AWD3,Saia Burgess,Power Meters,modbus
bfc31780-aee8-43fc-a40d-ac46ff62f8e3,EM,EM1,Janitza,Power Meters,modbus
c679937e-6051-457d-8a2d-a2a217afb810,Tmax XT5,Tmax XT5 & Ekip Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
e679523c-2d93-4a5f-91b0-074cd5b68bb7,ACH,480,ABB,General Purpose AC Drives,ethernet-ip | modbus
cea60663-7abc-4014-8ac5-d91004478d7b,E-Pumps,0.25-7.5 kW H models,Grundfos,Motors & Pumps,modbus
326cc1cd-f4a9-4785-8ac8-1cdc1b4c2f3b,Tmax T5,Tmax T5 & PR223EF,ABB,Circuit Breakers,modbus
aa2f1261-f6eb-40ca-905b-7e1019553784,HVAC,AHU-52,Siemens,AHU-PTB-WB-BG-02,json-over-http
9c57b3b3-34a1-4804-93ab-f5fc554aaaa6,UMG,96RM-E,Janitza,Power Meters,modbus
21080a0f-0cdc-4635-aa67-a5deda2fbf43,HVAC,EFS-68,Siemens,Ptb-Wb-Ef-01,json-over-http
51e971f7-ea41-4379-a268-eeaacdf15056,Emax 2,Emax 2 & Ekip UP & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
6fa278e2-42e1-436d-8e9a-5bc1f6a9898d,Easergy MiCOM,Px4x Series,Schneider Electric,Protection Relays,modbus
519f339c-26e7-4127-8af1-124ecf2ac69b,VLT,FCD300,Danfoss,Variable Frequency Drives,modbus
0cc1db1f-22cd-47ac-a712-83a229d35e9f,Eco-Power Meter,KW2M-A,Panasonic,Power Meters,modbus
05f6289d-0697-4004-99e1-fe31336c9e14,CIMR-U,U1000,Omron,Variable Frequency Drives,modbus
3c74b3e7-8e54-4352-8184-f1820adcb313,EC,EC376,Hager,Power Meters,modbus
ce10603c-fe3e-44d3-846f-edbb1ba1fee3,HVAC,EFS-22,Siemens,Maf-Ptb-Eb-Ff-01,json-over-http
20a1d78b-0a37-4619-84dc-ccc9d5e5cbab,PowerFlex,400 (SingleDrive),Rockwell Automation,Variable Frequency Drives,ethernet-ip | modbus
a5d437e2-9cda-49da-9f6c-92cea25bd555,Unidrive,SP,Control Techniques,Variable Frequency Drives,modbus
4875d032-a964-4e17-87d5-3260c4d7c93e,Emax,Emax w. PR122/P-LI,ABB,Circuit Breakers,modbus
fa6653bf-5ffb-4f47-94f0-404c83da7f29,NRX,NRX & Digitrip 520M & CAM + ECAM,Eaton,Circuit Breakers,modbus
2392de78-846f-421b-bf52-d2c88154705d,B-PRO,8700,ERL,Protection Relays,modbus
6d7b97f7-8171-4b0e-a66d-c3a3d3c72151,HVAC,AHU-07,Siemens,AHU-PTB-EB-IA-02,json-over-http
2a449b8b-aebf-4f97-940b-2a39d3fed485,PMC,509,CET,Power Meters,modbus
b37a92e7-3ebb-4444-8809-f1aed31c86e1,ACS,880 FW 1.1x,ABB,Variable Frequency Drives,ethernet-ip | modbus
0d71dce3-e51f-4cfb-953e-5c68b526083f,IQ 100 Series,IQ150,Eaton,Power Meters,modbus
64a523b2-91b1-4561-8926-fe51df869de5,EC-300 Series,ECR300C,Hager,Power Meters,modbus
719ac406-8a9a-4f02-a147-aafac1b7f4d2,HVAC,AHU-31,Siemens,AHU-PTB-EPG-DA-08,json-over-http
c06acdcd-8390-4f66-8cc6-c7ea471800dd,PowerFlex,523 (SingleDrive),Rockwell Automation,Variable Frequency Drives,ethernet-ip | modbus
4520823b-060e-42b0-90d9-b39449b77500,Alpha,1140,Elster,Power Meters,modbus
680730a4-6ea1-438a-8bc1-36c507b1bf0b,10,C,Saftronics,Variable Frequency Drives,modbus
d983028e-5359-40ab-b07b-64c03d6bfb7c,Liebert,EXL S1,Vertiv Group Corp,Uninterruptible Power Supplies,modbus
33f59d25-4c93-4424-8dcd-83c4e56c3e28,EasyLogic,PM2100_2200,Schneider Electric,Power Meters,modbus
3cc46e67-c6d7-4960-87e9-ce970b4af51a,PACmotion,IC855,General Electric,Variable Frequency Drives,modbus
f70a6f61-2fa6-4276-b474-3c97399dc45c,Tmax XT4,Tmax XT4 & Ekip Hi-Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
aa54bc4a-dd5b-4be0-bfed-a80674af4916,PowerLogic,BCPMSC-A,Schneider Electric,Power Meters,modbus
f93d38db-d787-4b7f-9572-6beb718c3390,Emax 2,Emax 2 & Ekip UP & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
